Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensg,gene,desc
ENSMUSG00000090546,362650.44359746,3.5942284362618,0.181521162883459,19.8006027460797,2.9415312025807e-87,3.99342276062356e-83,ENSMUSG00000090546,Cdr1,cerebellar degeneration related antigen 1 [Source:MGI Symbol;Acc:MGI:88359]
ENSMUSG00000022565,3031.07455990299,2.16068261762751,0.159639813457504,13.5347352946055,9.7533143863325e-42,6.6205498054425e-38,ENSMUSG00000022565,Plec,plectin [Source:MGI Symbol;Acc:MGI:1277961]
ENSMUSG00000022961,61320.8246044561,2.19868026949819,0.16633868783271,13.2180931456514,6.89908465722584e-40,1.8732394661299598e-36,ENSMUSG00000022961,Son,Son DNA binding protein [Source:MGI Symbol;Acc:MGI:98353]
ENSMUSG00000035545,940.765010900373,2.43599656308995,0.184116036558534,13.230767990791,5.828871146293659e-40,1.8732394661299598e-36,ENSMUSG00000035545,Leng8,leukocyte receptor cluster (LRC) member 8 [Source:MGI Symbol;Acc:MGI:2142195]
ENSMUSG00000002028,10860.2661062224,2.13568989511401,0.1615311270504,13.2215377562966,6.590267656335819e-40,1.8732394661299598e-36,ENSMUSG00000002028,Kmt2a,lysine (K)-specific methyltransferase 2A [Source:MGI Symbol;Acc:MGI:96995]
ENSMUSG00000020532,28592.1962302364,2.51328434012763,0.192840042414161,13.0330003492214,7.94220221341641e-39,1.79705562082235e-35,ENSMUSG00000020532,Acaca,acetyl-Coenzyme A carboxylase alpha [Source:MGI Symbol;Acc:MGI:108451]
ENSMUSG00000034675,6902.38833598666,2.58203421804266,0.202695148112886,12.7385102311609,3.61226688734497e-37,6.130016907824419e-34,ENSMUSG00000034675,Dbn1,drebrin 1 [Source:MGI Symbol;Acc:MGI:1931838]
ENSMUSG00000053560,394.710182111598,2.97230752628364,0.233761928903064,12.7151052364741,4.87452850813675e-37,7.35295544738494e-34,ENSMUSG00000053560,Ier2,immediate early response 2 [Source:MGI Symbol;Acc:MGI:104815]
ENSMUSG00000001150,2211.41949990199,2.28278686222619,0.183032708935524,12.4720159336675,1.0610725152579999e-35,1.30955640610387e-32,ENSMUSG00000001150,Mcm3ap,minichromosome maintenance complex component 3 associated protein [Source:MGI Symbol;Acc:MGI:1930089]
ENSMUSG00000039218,63165.1339862794,2.08657881496006,0.173251480869756,12.043642019595,2.09498007988963e-33,2.3701207970484697e-30,ENSMUSG00000039218,Srrm2,serine/arginine repetitive matrix 2 [Source:MGI Symbol;Acc:MGI:1923206]
ENSMUSG00000051451,221.10053821087,3.33133892555003,0.280867261187784,11.8609015214584,1.88929848429472e-32,1.83207973019893e-29,ENSMUSG00000051451,Crebzf,CREB/ATF bZIP transcription factor [Source:MGI Symbol;Acc:MGI:2675296]
ENSMUSG00000038473,981.200275071039,2.11545894032404,0.183202282898968,11.5471210666664,7.63347932001598e-31,5.75733973602983e-28,ENSMUSG00000038473,Nos1ap,nitric oxide synthase 1 (neuronal) adaptor protein [Source:MGI Symbol;Acc:MGI:1917979]
ENSMUSG00000027254,164303.364953228,2.0042108624891,0.174170550560695,11.5071741809226,1.2139111071532198e-30,8.673714310901119e-28,ENSMUSG00000027254,Map1a,microtubule-associated protein 1 A [Source:MGI Symbol;Acc:MGI:1306776]
ENSMUSG00000034573,1396.84518068792,2.15780974460404,0.190452398056441,11.3299163813341,9.329376302494549e-30,6.3327806341333e-27,ENSMUSG00000034573,Ptpn13,"protein tyrosine phosphatase, non-receptor type 13 [Source:MGI Symbol;Acc:MGI:103293]"
ENSMUSG00000037266,1180.31663025206,2.50400282167266,0.221679228160771,11.2956132265882,1.37937874318473e-29,8.91735515117899e-27,ENSMUSG00000037266,Rsrp1,arginine/serine rich protein 1 [Source:MGI Symbol;Acc:MGI:106498]
ENSMUSG00000022822,1151.02364973152,2.27011203651417,0.202406114160087,11.215629754735,3.41745123353973e-29,2.10887808847888e-26,ENSMUSG00000022822,Abcc5,"ATP-binding cassette, sub-family C (CFTR/MRP), member 5 [Source:MGI Symbol;Acc:MGI:1351644]"
ENSMUSG00000023764,508.683080400687,2.63055778864077,0.237168127123977,11.0915316511551,1.3790604891930699e-28,7.800885500535489e-26,ENSMUSG00000023764,Sfi1,"Sfi1 homolog, spindle assembly associated (yeast) [Source:MGI Symbol;Acc:MGI:1926137]"
ENSMUSG00000025278,1352.61460076169,2.33227666743988,0.213284041495899,10.9350734873651,7.83424828709885e-28,4.0906828748328504e-25,ENSMUSG00000025278,Flnb,"filamin, beta [Source:MGI Symbol;Acc:MGI:2446089]"
ENSMUSG00000030739,895.486561153297,2.74269356206114,0.25106875303903,10.9240737003811,8.84381326514221e-28,4.44680032916928e-25,ENSMUSG00000030739,Myh14,"myosin, heavy polypeptide 14 [Source:MGI Symbol;Acc:MGI:1919210]"
ENSMUSG00000003545,742.064062277875,2.49323893368508,0.234991461063085,10.6099128981361,2.67998788603268e-26,9.83338257858908e-24,ENSMUSG00000003545,Fosb,FBJ osteosarcoma oncogene B [Source:MGI Symbol;Acc:MGI:95575]
ENSMUSG00000023034,1940.67450327955,2.74085413223364,0.260789440613332,10.5098355431402,7.7829148928557e-26,2.57709396549778e-23,ENSMUSG00000023034,Nr4a1,"nuclear receptor subfamily 4, group A, member 1 [Source:MGI Symbol;Acc:MGI:1352454]"
ENSMUSG00000021495,459.642859007467,2.89547017148491,0.279291089036722,10.367212865514,3.4957201808384503e-25,1.07858857216052e-22,ENSMUSG00000021495,Fam193b,"family with sequence similarity 193, member B [Source:MGI Symbol;Acc:MGI:2385851]"
ENSMUSG00000087006,154.079571572777,3.29412066716333,0.324186075767692,10.1612034365222,2.9540737480372003e-24,8.53287344752192e-22,ENSMUSG00000087006,Gm13889,predicted gene 13889 [Source:MGI Symbol;Acc:MGI:3652053]
ENSMUSG00000055491,1692.79957925436,2.18644711566567,0.217476586806209,10.0537126675341,8.847012144313271e-24,2.5022299348166e-21,ENSMUSG00000055491,Pprc1,"peroxisome proliferative activated receptor, gamma, coactivator-related 1 [Source:MGI Symbol;Acc:MGI:2385096]"
ENSMUSG00000048537,467.082234216852,2.03032727015969,0.206919341164958,9.81216767233511,9.980125393324431e-23,2.55641853471269e-20,ENSMUSG00000048537,Phldb1,"pleckstrin homology like domain, family B, member 1 [Source:MGI Symbol;Acc:MGI:2143230]"
ENSMUSG00000042010,155.203856992909,3.1045342347459,0.318428188071125,9.74955845948054,1.85272326276944e-22,4.49153053845676e-20,ENSMUSG00000042010,Acacb,acetyl-Coenzyme A carboxylase beta [Source:MGI Symbol;Acc:MGI:2140940]
ENSMUSG00000052837,305.49579417344,2.13923373388482,0.222698731232735,9.60595384645088,7.54560083134069e-22,1.70731794810469e-19,ENSMUSG00000052837,Junb,jun B proto-oncogene [Source:MGI Symbol;Acc:MGI:96647]
ENSMUSG00000039473,4539.37483198631,2.00240184169165,0.208949083056651,9.5832047329385,9.40794942472902e-22,2.0938085473790402e-19,ENSMUSG00000039473,Ubn1,ubinuclein 1 [Source:MGI Symbol;Acc:MGI:1891307]
ENSMUSG00000053550,422.442000195765,2.33076797452714,0.244067032952253,9.54970421991858,1.30067098906907e-21,2.8028427535875704e-19,ENSMUSG00000053550,Shisa7,shisa family member 7 [Source:MGI Symbol;Acc:MGI:3605641]
ENSMUSG00000033871,868.541133687489,2.07266350541677,0.221769553599976,9.3460237069125,9.100479916206421e-21,1.87194114155179e-18,ENSMUSG00000033871,Ppargc1b,"peroxisome proliferative activated receptor, gamma, coactivator 1 beta [Source:MGI Symbol;Acc:MGI:2444934]"
ENSMUSG00000058897,270.660603057383,2.14443682793713,0.230782896985752,9.29200931241245,1.51402681028442e-20,2.9789026052784497e-18,ENSMUSG00000058897,Col25a1,"collagen, type XXV, alpha 1 [Source:MGI Symbol;Acc:MGI:1924268]"
ENSMUSG00000024186,223.783115782741,2.451398061006,0.266776922695829,9.18894346720167,3.96718613394301e-20,7.18113586058805e-18,ENSMUSG00000024186,Rgs11,regulator of G-protein signaling 11 [Source:MGI Symbol;Acc:MGI:1354739]
ENSMUSG00000037243,175.160607396033,2.3606306703756,0.262039094208846,9.00869649814225,2.08520088947617e-19,3.25387210063546e-17,ENSMUSG00000037243,Zfp692,zinc finger protein 692 [Source:MGI Symbol;Acc:MGI:2144276]
ENSMUSG00000038271,212.640949732959,2.04562457193504,0.236610806436213,8.64552470255206,5.35586104284078e-18,6.610106319782401e-16,ENSMUSG00000038271,Iffo1,intermediate filament family orphan 1 [Source:MGI Symbol;Acc:MGI:2444516]
ENSMUSG00000052751,255.451084520504,2.72118282392553,0.315684802707265,8.61993609001472,6.69914921093554e-18,8.12032586496973e-16,ENSMUSG00000052751,Repin1,replication initiator 1 [Source:MGI Symbol;Acc:MGI:1889817]
ENSMUSG00000030882,215.936256511794,2.0033890022784,0.233226884848745,8.589871633271,8.70665440316959e-18,1.0294473477569001e-15,ENSMUSG00000030882,Dnhd1,dynein heavy chain domain 1 [Source:MGI Symbol;Acc:MGI:1924755]
ENSMUSG00000051343,2425.8046316347,2.51214383884861,0.29301371043641,8.5734685762897,1.0041393895884501e-17,1.16514498744042e-15,ENSMUSG00000051343,Rab11fip5,RAB11 family interacting protein 5 (class I) [Source:MGI Symbol;Acc:MGI:1098586]
ENSMUSG00000085925,601.694900028864,2.44675751306171,0.288135632444999,8.49168668345373,2.03659455725413e-17,2.2662957138755803e-15,ENSMUSG00000085925,Rtl1,retrotransposon Gaglike 1 [Source:MGI Symbol;Acc:MGI:2656842]
ENSMUSG00000044349,510.829887587078,2.68027181215447,0.316023986262488,8.48122904800098,2.2282746214297502e-17,2.4396013113330903e-15,ENSMUSG00000044349,Snhg11,small nucleolar RNA host gene 11 [Source:MGI Symbol;Acc:MGI:2441845]
ENSMUSG00000107877,190.17397110061,2.23806418976855,0.264672970807759,8.45596051209223,2.7679927580945302e-17,2.98240235586439e-15,ENSMUSG00000107877,Gm43951,"predicted gene, 43951 [Source:MGI Symbol;Acc:MGI:5690343]"
ENSMUSG00000040721,512.411553196615,2.54969867213549,0.304721015896183,8.36732138292739,5.89427740917781e-17,6.10845115320595e-15,ENSMUSG00000040721,Zfhx2,zinc finger homeobox 2 [Source:MGI Symbol;Acc:MGI:2686934]
ENSMUSG00000024236,549.705285808506,2.17678767936873,0.266185544182426,8.17770809476004,2.89293549352568e-16,2.6717341673540502e-14,ENSMUSG00000024236,Svil,supervillin [Source:MGI Symbol;Acc:MGI:2147319]
ENSMUSG00000017677,463.124313857414,2.02981002557802,0.24853246173205,8.1671827150146,3.15674606328109e-16,2.87624057416806e-14,ENSMUSG00000017677,Wsb1,WD repeat and SOCS box-containing 1 [Source:MGI Symbol;Acc:MGI:1926139]
ENSMUSG00000037868,555.982640060181,2.48742485337635,0.306310731770266,8.12059322571147,4.63910461419307e-16,4.1163715191036e-14,ENSMUSG00000037868,Egr2,early growth response 2 [Source:MGI Symbol;Acc:MGI:95296]
ENSMUSG00000096265,169.770102597612,2.06960002744124,0.256538250305031,8.06741304651617,7.18033087967465e-16,6.13082842908572e-14,ENSMUSG00000096265,4930467E23Rik,RIKEN cDNA 4930467E23 gene [Source:MGI Symbol;Acc:MGI:1923056]
ENSMUSG00000020900,66874.0146423058,2.23000674553711,0.277010263712852,8.05026758087467,8.26132176070746e-16,6.88748629258374e-14,ENSMUSG00000020900,Myh10,"myosin, heavy polypeptide 10, non-muscle [Source:MGI Symbol;Acc:MGI:1930780]"
ENSMUSG00000110591,167.526221370265,2.17835674965069,0.271012770201372,8.03783802524174,9.14373864359871e-16,7.56923145277415e-14,ENSMUSG00000110591,Gm31371,"predicted gene, 31371 [Source:MGI Symbol;Acc:MGI:5590530]"
ENSMUSG00000045409,225.942882783793,2.06465916377154,0.257017614337832,8.03314266646988,9.50070820122156e-16,7.81706754786569e-14,ENSMUSG00000045409,Trim39,tripartite motif-containing 39 [Source:MGI Symbol;Acc:MGI:1890659]
ENSMUSG00000059851,95.1464654492503,2.54167682629163,0.316878984406876,8.02096999600354,1.04913354985719e-15,8.580142814976621e-14,ENSMUSG00000059851,Kmt5c,lysine methyltransferase 5C [Source:MGI Symbol;Acc:MGI:2385262]
ENSMUSG00000027582,225.667896602204,2.08371205185867,0.263927361814776,7.89502095398892,2.9026646705786102e-15,2.23900997544177e-13,ENSMUSG00000027582,Zgpat,"zinc finger, CCCH-type with G patch domain [Source:MGI Symbol;Acc:MGI:2449939]"
ENSMUSG00000039087,732.226865767791,2.01444301802559,0.256202347473349,7.8627032027298,3.75931023723603e-15,2.80419757036903e-13,ENSMUSG00000039087,Rreb1,ras responsive element binding protein 1 [Source:MGI Symbol;Acc:MGI:2443664]
ENSMUSG00000078161,1322.34998004168,2.38702625670157,0.308937810463964,7.72655911918558,1.10492496867453e-14,7.24659969793501e-13,ENSMUSG00000078161,Erich3,glutamate rich 3 [Source:MGI Symbol;Acc:MGI:1919095]
ENSMUSG00000029524,73.6804066695468,3.05930054933381,0.397228625937292,7.70161148913968,1.3436087242215e-14,8.727670832550729e-13,ENSMUSG00000029524,Sirt4,sirtuin 4 [Source:MGI Symbol;Acc:MGI:1922637]
ENSMUSG00000020836,125.893802094114,2.33291022479843,0.305532829483654,7.63554682074922,2.2486396849298502e-14,1.40679872638745e-12,ENSMUSG00000020836,Coro6,coronin 6 [Source:MGI Symbol;Acc:MGI:2183448]
ENSMUSG00000024764,115.258946335867,2.21156436551935,0.290138582378836,7.62244148084965,2.48921980105917e-14,1.54308895064746e-12,ENSMUSG00000024764,Naa40,"N(alpha)-acetyltransferase 40, NatD catalytic subunit [Source:MGI Symbol;Acc:MGI:1918249]"
ENSMUSG00000063450,1882.57863457788,2.03117056848765,0.267391753896313,7.59623488342607,3.0487094794091e-14,1.8708508051274098e-12,ENSMUSG00000063450,Syne2,"spectrin repeat containing, nuclear envelope 2 [Source:MGI Symbol;Acc:MGI:2449316]"
ENSMUSG00000039278,273.967614722151,2.80239002667324,0.369945575779981,7.57514134549324,3.58736841778599e-14,2.1549607805248996e-12,ENSMUSG00000039278,Pcsk1n,proprotein convertase subtilisin/kexin type 1 inhibitor [Source:MGI Symbol;Acc:MGI:1353431]
ENSMUSG00000045903,2604.20742408453,2.07868644683989,0.275325147199424,7.5499331172036,4.35481819669484e-14,2.55935116183243e-12,ENSMUSG00000045903,Npas4,neuronal PAS domain protein 4 [Source:MGI Symbol;Acc:MGI:2664186]
ENSMUSG00000080316,153.423413351274,2.23491877299614,0.299073301245504,7.47281273082124,7.8498524793313e-14,4.440399885808399e-12,ENSMUSG00000080316,Spaca6,sperm acrosome associated 6 [Source:MGI Symbol;Acc:MGI:1922452]
ENSMUSG00000055633,73.4636773181023,3.24868598327116,0.436658424891973,7.43987931545089,1.00777325088747e-13,5.49459022250937e-12,ENSMUSG00000055633,Zfp580,zinc finger protein 580 [Source:MGI Symbol;Acc:MGI:1916242]
ENSMUSG00000028476,117.012399735367,2.01702437412554,0.27613303164573,7.30453854833751,2.78219900478857e-13,1.3989308773707298e-11,ENSMUSG00000028476,Reck,reversion-inducing-cysteine-rich protein with kazal motifs [Source:MGI Symbol;Acc:MGI:1855698]
ENSMUSG00000039860,166.578452626455,2.06582976890474,0.283715385175569,7.28134559085106,3.30506796672203e-13,1.6082294880365e-11,ENSMUSG00000039860,Srrm3,serine/arginine repetitive matrix 3 [Source:MGI Symbol;Acc:MGI:1920309]
ENSMUSG00000001128,43.129151620221,3.74616420231321,0.526071698741015,7.12101451433039,1.071355077111e-12,4.6126207492865895e-11,ENSMUSG00000001128,Cfp,complement factor properdin [Source:MGI Symbol;Acc:MGI:97545]
ENSMUSG00000035713,116.69466427737,2.09544883503769,0.294637733607232,7.11195001870004,1.14414699965489e-12,4.8845722224260293e-11,ENSMUSG00000035713,Usp35,ubiquitin specific peptidase 35 [Source:MGI Symbol;Acc:MGI:2685339]
ENSMUSG00000066191,99.9928622234333,2.06637869487178,0.29211369061387,7.07388513879419,1.50655001049442e-12,6.31263053780009e-11,ENSMUSG00000066191,Anks6,ankyrin repeat and sterile alpha motif domain containing 6 [Source:MGI Symbol;Acc:MGI:1922941]
ENSMUSG00000106824,92.5386289448812,2.39460748011208,0.344022481866477,6.96061335038411,3.3879443960482996e-12,1.34095431838926e-10,ENSMUSG00000106824,Gm7697,predicted gene 7697 [Source:MGI Symbol;Acc:MGI:3649141]
ENSMUSG00000034248,139.280738131177,2.54976041230979,0.368757671328642,6.9144606622635,4.6964670631605195e-12,1.8062106756223e-10,ENSMUSG00000034248,Slc25a37,"solute carrier family 25, member 37 [Source:MGI Symbol;Acc:MGI:1914962]"
ENSMUSG00000023473,529.069636071421,2.03870458821118,0.298113970025536,6.83867511487821,7.99289190752696e-12,2.9406910714522e-10,ENSMUSG00000023473,Celsr3,"cadherin, EGF LAG seven-pass G-type receptor 3 [Source:MGI Symbol;Acc:MGI:1858236]"
ENSMUSG00000034120,227.866686964007,2.12888048263216,0.312404999008355,6.814489170755,9.459929976783779e-12,3.41563854693661e-10,ENSMUSG00000034120,Srsf2,serine and arginine-rich splicing factor 2 [Source:MGI Symbol;Acc:MGI:98284]
ENSMUSG00000024970,149.683085934166,2.20559878161018,0.323900070205742,6.80950387015718,9.79358986817423e-12,3.51740148281305e-10,ENSMUSG00000024970,Spindoc,spindlin interactor and repressor of chromatin binding [Source:MGI Symbol;Acc:MGI:2147611]
ENSMUSG00000043923,68.4133704317799,2.5750901146052,0.382727859141788,6.72825364837424,1.71711407614049e-11,5.79889072081672e-10,ENSMUSG00000043923,Ccdc84,coiled-coil domain containing 84 [Source:MGI Symbol;Acc:MGI:2685960]
ENSMUSG00000071984,77.9345598984757,2.25532189233495,0.337863378556512,6.67524814903169,2.4681417901926898e-11,8.253077079718221e-10,ENSMUSG00000071984,Fndc1,fibronectin type III domain containing 1 [Source:MGI Symbol;Acc:MGI:1915905]
ENSMUSG00000024299,95.428008702004,2.37494397321741,0.357678450390038,6.63988554699787,3.13926819851884e-11,1.0294373203645401e-09,ENSMUSG00000024299,Adamts10,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 10 [Source:MGI Symbol;Acc:MGI:2449112]"
ENSMUSG00000107280,74.713566841185,2.26720710168508,0.344952098127098,6.57252735668164,4.946829492873419e-11,1.5367999358180702e-09,ENSMUSG00000107280,Gm9495,predicted gene 9495 [Source:MGI Symbol;Acc:MGI:3779905]
ENSMUSG00000026207,355.214431053933,2.02822536408673,0.309895555808191,6.54486754028215,5.9548141514635e-11,1.8126133838625203e-09,ENSMUSG00000026207,Speg,SPEG complex locus [Source:MGI Symbol;Acc:MGI:109282]
ENSMUSG00000032968,198.576252700595,2.24345711660919,0.343622499975393,6.52884231029646,6.627998593657049e-11,2.0040469689863703e-09,ENSMUSG00000032968,Inha,inhibin alpha [Source:MGI Symbol;Acc:MGI:96569]
ENSMUSG00000102752,76.9621171851909,2.81308955905093,0.432109475691284,6.51013161549068,7.5084987891753e-11,2.2305334696245904e-09,ENSMUSG00000102752,Gm7694,predicted gene 7694 [Source:MGI Symbol;Acc:MGI:3649135]
ENSMUSG00000028876,188.552205733231,2.00074017490846,0.307703869935516,6.50216123485136,7.917417205031679e-11,2.3215303666416903e-09,ENSMUSG00000028876,Epha10,Eph receptor A10 [Source:MGI Symbol;Acc:MGI:3586824]
ENSMUSG00000022847,63.4535103766409,3.18057666018401,0.489513346117565,6.49742583202243,8.170595007353669e-11,2.3854623187060903e-09,ENSMUSG00000022847,Thpo,thrombopoietin [Source:MGI Symbol;Acc:MGI:101875]
